Date	S&P
4/8/2010	1186.44
4/9/2010	1194.37
4/12/2010	1196.48
4/13/2010	1197.3
4/14/2010	1210.65
4/15/2010	1211.67
4/16/2010	1192.13
4/19/2010	1197.52
4/20/2010	1207.17
4/21/2010	1205.94
4/22/2010	1208.67
4/23/2010	1217.28
4/26/2010	1212.05
4/27/2010	1183.71
4/28/2010	1191.36
4/29/2010	1206.78
4/30/2010	1186.69
5/3/2010	1202.26
5/4/2010	1173.6
5/5/2010	1165.87
5/6/2010	1128.15
5/7/2010	1110.88
5/10/2010	1159.73
5/11/2010	1155.79
5/12/2010	1171.67
5/13/2010	1157.44
5/14/2010	1135.68
5/17/2010	1136.94
5/18/2010	1120.8
5/19/2010	1115.05
5/20/2010	1071.59
5/21/2010	1087.69
5/24/2010	1073.65
5/25/2010	1074.03
5/26/2010	1067.95
5/27/2010	1103.06
5/28/2010	1089.41
6/1/2010	1070.71
6/2/2010	1098.38
6/3/2010	1102.83
6/4/2010	1064.88
6/7/2010	1050.47
6/8/2010	1062
6/9/2010	1055.69
6/10/2010	1086.84
6/11/2010	1091.6
6/14/2010	1089.63
6/15/2010	1115.23
6/16/2010	1114.61
6/17/2010	1116.04
6/18/2010	1117.51
6/21/2010	1113.2
6/22/2010	1095.31
6/23/2010	1092.04
6/24/2010	1073.69
6/25/2010	1076.76
6/28/2010	1074.57
6/29/2010	1041.24
6/30/2010	1030.71
7/1/2010	1027.37
7/2/2010	1022.58
7/6/2010	1028.06
7/7/2010	1060.27
7/8/2010	1070.25
7/9/2010	1077.96
7/12/2010	1078.75
7/13/2010	1095.34
7/14/2010	1095.17
7/15/2010	1096.48
7/16/2010	1064.88
7/19/2010	1071.25
7/20/2010	1083.48
7/21/2010	1069.59
7/22/2010	1093.67
7/23/2010	1102.66
7/26/2010	1115.01
7/27/2010	1113.84
7/28/2010	1106.13
7/29/2010	1101.53
7/30/2010	1101.6
8/2/2010	1125.86
8/3/2010	1120.46
8/4/2010	1127.24
8/5/2010	1125.81
8/6/2010	1121.64
8/9/2010	1127.79
8/10/2010	1121.06
8/11/2010	1089.47
8/12/2010	1083.61
8/13/2010	1079.25
